GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0400000US39,39,Ohio,0500000US39133,39133,Ohio - Portage County,Portage County,51969,1125
0400000US39,39,Ohio,0500000US39135,39135,Ohio - Preble County,Preble County,48899,2273
0400000US39,39,Ohio,0500000US39137,39137,Ohio - Putnam County,Putnam County,60693,1845
0400000US39,39,Ohio,0500000US39139,39139,Ohio - Richland County,Richland County,42894,1046
0400000US39,39,Ohio,0500000US39141,39141,Ohio - Ross County,Ross County,44089,2229
0400000US39,39,Ohio,0500000US39143,39143,Ohio - Sandusky County,Sandusky County,46785,2018
0400000US39,39,Ohio,0500000US39145,39145,Ohio - Scioto County,Scioto County,34783,1836
0400000US39,39,Ohio,0500000US39147,39147,Ohio - Seneca County,Seneca County,42375,1693
0400000US39,39,Ohio,0500000US39149,39149,Ohio - Shelby County,Shelby County,51159,1986
0400000US39,39,Ohio,0500000US39151,39151,Ohio - Stark County,Stark County,45689,736
0400000US39,39,Ohio,0500000US39153,39153,Ohio - Summit County,Summit County,49227,719
0400000US39,39,Ohio,0500000US39155,39155,Ohio - Trumbull County,Trumbull County,42488,768
0400000US39,39,Ohio,0500000US39157,39157,Ohio - Tuscarawas County,Tuscarawas County,43869,1340
0400000US39,39,Ohio,0500000US39159,39159,Ohio - Union County,Union County,65866,2289
0400000US39,39,Ohio,0500000US39161,39161,Ohio - Van Wert County,Van Wert County,44602,2249
0400000US39,39,Ohio,0500000US39163,39163,Ohio - Vinton County,Vinton County,34432,2266
0400000US39,39,Ohio,0500000US39165,39165,Ohio - Warren County,Warren County,72055,1523
0400000US39,39,Ohio,0500000US39167,39167,Ohio - Washington County,Washington County,43829,1607
0400000US39,39,Ohio,0500000US39169,39169,Ohio - Wayne County,Wayne County,49241,1004
0400000US39,39,Ohio,0500000US39171,39171,Ohio - Williams County,Williams County,43176,1833
0400000US39,39,Ohio,0500000US39173,39173,Ohio - Wood County,Wood County,53441,1569
0400000US39,39,Ohio,0500000US39175,39175,Ohio - Wyandot County,Wyandot County,46129,3386
