BUYER_COUNTY,all_active_wt,oxy_wt,hyd_wt,perc_oxy,perc_hyd,perc_retail,perc_chain,perc_practitioner,most_dist_channel,pharmacy_num,dominance,State,Year,est_death_rate_cat,Population,median_income,Political.affiliation,act_wt_person_county,political_aff
HAMPSHIRE,4673.16487045,3309.83434045,1363.33053,70.8,29.200000000000003,0.4523052464228935,0.5476947535771065,0,CHAIN PHARMACY,4,Yes,West Virginia,2012,4,23676,28573,Republican,0.1973798306491806,Republican
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,West Virginia,2012,4,30349,49350,Democrat,0.8952019109855349,Democrat
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,West Virginia,2012,4,30349,49350,Republican,0.8952019109855349,Republican
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,Ohio,2012,2,75597,37465,Democrat,0.3593857269005384,Democrat
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,Ohio,2012,2,75597,37465,Republican,0.3593857269005384,Republican
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,Ohio,2012,2,75597,49350,Democrat,0.3593857269005384,Democrat
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,Ohio,2012,2,75597,49350,Republican,0.3593857269005384,Republican
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,West Virginia,2012,4,30349,37465,Democrat,0.8952019109855349,Democrat
HANCOCK,27168.4827965,19102.1029265,8066.37987,70.3,29.700000000000003,0.33970560122347543,0.6582871343911298,0.002007264385394762,CHAIN PHARMACY,29,No,West Virginia,2012,4,30349,37465,Republican,0.8952019109855349,Republican
HARDY,2012.0763,1289.07735,722.99895,64.1,35.900000000000006,0.5076142131979695,0.49153976311336717,8.460236886632825e-4,RETAIL PHARMACY,6,Yes,West Virginia,2012,2,13892,34184,Democrat,0.1448370501007774,Democrat
